Date,Clicks,Impressions,CTR,Position
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,4,0%,1.5
2026-06-06,2,11,18.18%,31.3
2026-06-07,0,8,0%,44.2
2026-06-08,0,14,0%,85.6
2026-06-09,0,29,0%,81
2026-06-10,0,6,0%,28.2
2026-06-11,0,1,0%,1
2026-06-12,0,3,0%,32.3
2026-06-13,0,18,0%,66
2026-06-14,0,16,0%,69.2
2026-06-15,0,9,0%,67.1
2026-06-16,0,21,0%,54.1
2026-06-17,0,9,0%,61.6
2026-06-18,0,18,0%,55.2
2026-06-19,1,17,5.88%,44.8
2026-06-20,0,9,0%,43.1
2026-06-21,0,8,0%,45.4
2026-06-22,0,0,,
2026-06-23,0,4,0%,43.2
2026-06-24,0,3,0%,11.7
2026-06-25,0,6,0%,57.2
2026-06-26,0,3,0%,41.7
2026-06-27,0,2,0%,3
2026-06-28,0,1,0%,92
2026-06-29,0,6,0%,80.7
2026-06-30,0,14,0%,13.9
2026-07-01,0,4,0%,9.2
2026-07-02,0,4,0%,25
2026-07-03,0,7,0%,82.3
