Country,Clicks,Impressions,CTR,Position
Pakistan,3,5,60%,1
United States,0,135,0%,53.81
Canada,0,17,0%,65.12
United Kingdom,0,17,0%,65.47
India,0,11,0%,63
Singapore,0,9,0%,97.22
New Zealand,0,8,0%,55
Bangladesh,0,6,0%,24.17
Australia,0,6,0%,71.33
Germany,0,6,0%,79.5
Netherlands,0,4,0%,24.75
Philippines,0,3,0%,29.67
Malaysia,0,2,0%,29
Brazil,0,2,0%,33
Norway,0,2,0%,73.5
Iraq,0,1,0%,1
Sierra Leone,0,1,0%,1
China,0,1,0%,2
Italy,0,1,0%,2
Saudi Arabia,0,1,0%,2
South Africa,0,1,0%,2
Myanmar (Burma),0,1,0%,4
Nigeria,0,1,0%,4
Peru,0,1,0%,5
Ireland,0,1,0%,7
Poland,0,1,0%,7
Greece,0,1,0%,46
Chile,0,1,0%,47
Ecuador,0,1,0%,49
Kuwait,0,1,0%,62
Libya,0,1,0%,63
Switzerland,0,1,0%,66
Bulgaria,0,1,0%,70
Indonesia,0,1,0%,79
Egypt,0,1,0%,81
Thailand,0,1,0%,86
South Korea,0,1,0%,87
